"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","101724","eccomerce end to end test flow","chromium","2026-07-17","broken","2026-07-17","","e2eflowtest.spec.js","",""
"","11727","validations and other imp things","chromium","2026-07-17","passed","2026-07-17","","MoreValidations.spec.js","",""
"","5652","eccomerce end to end test flow","chromium","2026-07-17","passed","2026-07-17","","e2eflowtestanotherWay.spec.js","",""
"","4471","handle child windows","chromium","2026-07-17","passed","2026-07-17","","windowshandle.spec.js","",""
"","5154","screenshot test","chromium","2026-07-17","failed","2026-07-17","","visualTesting.spec.js","",""
"","7962","UI basic test","chromium","2026-07-17","passed","2026-07-17","","UIBasicTest.spec.js","",""
"","9651","iframe handeling","chromium","2026-07-17","passed","2026-07-17","","Iframes.spec.js","",""
"","15910","validations and other imp things","chromium","2026-07-17","passed","2026-07-17","","Handlevents.spec.js","",""
"","100061","eccomerce end to end test flow","chromium","2026-07-17","broken","2026-07-17","","Api/WebapiPart2.spec.js","",""
"","4187","eccomerce end to end test flow","chromium","2026-07-17","passed","2026-07-17","","Api/injectResponce.spec.js","",""
"","5294","custome fixture test","chromium","2026-07-17","passed","2026-07-17","","POMe2etest.spec.js","",""
"","5508","static dropdown ui test","chromium","2026-07-17","passed","2026-07-17","","staticdropdown.spec.js","",""
"","2852","special locators","chromium","2026-07-17","passed","2026-07-17","","inbuiltLocators.spec.js","",""
"","2847","calender test","chromium","2026-07-17","passed","2026-07-17","","calender.spec.js","",""
"","4907","alltextcontent","chromium","2026-07-17","passed","2026-07-17","","UIBasicTest.spec.js","",""
"","1","screenshot test","chromium","2026-07-17","skipped","2026-07-17","","screenshots.spec.js","",""
"","5188","textContent","chromium","2026-07-17","passed","2026-07-17","","UIBasicTest.spec.js","",""
"","101392","eccomerce end to end test flow","chromium","2026-07-17","broken","2026-07-17","","Api/WebapiPart1.spec.js","",""
"","9840","alltextcontent","chromium","2026-07-17","passed","2026-07-17","","Api/blockRequest.spec.js","",""
"","7635","UI basic test - 2","chromium","2026-07-17","passed","2026-07-17","","UIBasicTest.spec.js","",""
"","6893","login for booking flow","chromium","2026-07-17","passed","2026-07-17","","fullBookingFlow.spec.js","",""
"","9727","eccomerce end to end test flow","chromium","2026-07-17","passed","2026-07-17","","POMe2etest.spec.js","",""
"","5796","login for booking flow","chromium","2026-07-17","passed","2026-07-17","","Api/apimocktest.spec.js","",""
"","3440","alltextcontent","chromium","2026-07-17","passed","2026-07-17","","waitsTest.spec.js","",""
"","2162","security test request","chromium","2026-07-17","passed","2026-07-17","","Api/ApiAuth.spec.js","",""
